央视频道,#genre#
CCTV-央视文化精品,http://10.255.126.3:8006/AHBKLIVE/11111120210421000000000000000057
CCTV-央视文化精品,http://10.49.6.247:8112/AHBKLIVE/11111120210421000000000000000057
财富天下,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000183
财富天下,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000183
茶频道,http://10.255.126.3:8006/AHBKLIVE/ccfffb202e2e4795b85241af37abc8de
茶频道,http://10.49.6.247:8112/AHBKLIVE/ccfffb202e2e4795b85241af37abc8de
金鹰纪实,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000569
金鹰纪实,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000569
快乐垂钓,http://10.255.126.3:8006/AHBKLIVE/4d0ec3c7a7cf41458ce3c7e241f7ed7a
快乐垂钓,http://10.49.6.247:8112/AHBKLIVE/4d0ec3c7a7cf41458ce3c7e241f7ed7a

未分类,#genre#
CETV-1,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000463
CETV-1,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000463
CETV-2,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000251
CETV-2,http://10.49.6.247:8112/AHBKLIVE/00005000000000000000000000000251
CETV-4,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000252
CETV-4,http://10.49.6.247:8112/AHBKLIVE/00005000000000000000000000000252
山东教育卫视,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000248
山东教育卫视,http://10.49.6.247:8112/AHBKLIVE/00005000000000000000000000000248
卡酷少儿,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000150
卡酷少儿,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000150
金鹰卡通,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000151
金鹰卡通,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000151
嘉佳动画,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000448
嘉佳动画,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000448
